Ax,Ay,Az,Gx,Gy,Gz,Flow_X,Flow_Y,LiDar
-27.83,-20.14,1012.39,-0.98,1.34,1.95,0,0,10
-27.83,-20.14,1012.39,-0.37,-2.93,-4.39,0,0,10
-29.11,-23.25,1010.74,2.56,-3.54,2.56,0,0,10
-29.11,-23.25,1010.74,4.52,-2.32,-0.61,0,0,10
-26.37,-23.44,1009.83,-1.1,-6.84,-13.43,0,0,10
-26.37,-23.44,1009.83,0,-4.52,0.85,0,0,10
-27.1,-24.35,1008,1.46,-3.54,3.17,0,0,10
-27.1,-24.35,1008,-6.71,-1.1,-2.44,0,0,10
-28.75,-22.71,1008.36,-0.73,0.37,0.49,0,0,10
-28.75,-22.71,1008.36,-0.37,-3.42,8.42,0,0,9
-27.83,-22.89,1010.38,-5.25,3.42,-2.44,0,0,10
-30.94,-26.18,1010.38,-0.49,6.23,7.08,0,0,10
-30.94,-26.18,1010.38,1.22,0.49,-0.24,0,0,10
-30.21,-22.89,1010.74,-2.81,-0.85,2.32,0,0,10
-30.21,-22.89,1010.74,-0.73,-1.46,0.61,0,0,11
-30.21,-22.52,1009.83,1.1,-1.71,0.12,0,0,10
-30.21,-22.52,1009.83,-0.49,-1.1,-6.23,0,0,10
-30.21,-22.52,1009.83,4.76,0.37,-5.37,0,0,10
-30.21,-22.52,1009.83,-4.64,1.95,-3.05,0,0,10
-30.21,-22.52,1009.83,1.22,4.03,3.17,0,0,10
-30.21,-22.52,1009.83,-2.56,3.05,-1.34,0,0,10
-27.65,-25.09,1010.93,-6.96,2.2,3.3,0,0,10
-27.65,-25.09,1010.93,2.2,5.86,-11.84,0,0,10
-28.2,-21.97,1009.64,-0.85,0,3.42,0,0,11
-28.2,-21.97,1009.64,-5.13,3.54,-4.52,0,0,10
-27.47,-24.17,1011.11,-3.17,-1.59,-0.85,0,0,10
-27.47,-24.17,1011.11,2.44,5.62,-0.12,0,0,10
-27.83,-23.99,1010.19,-0.37,6.71,-5.49,0,0,10
-27.83,-23.99,1010.19,5.74,0.12,-5.49,0,0,10
-27.1,-24.35,1011.11,-2.2,0,3.42,0,0,10
-27.1,-24.35,1011.11,2.56,5.13,4.27,0,0,10
-26,-24.35,1010.38,-8.79,0.73,-1.46,0,0,10
-26,-24.35,1010.38,-5.86,0.61,-6.59,0,0,10
-24.72,-23.07,1008.36,-7.69,0,-3.17,0,0,10
-24.72,-23.07,1008.36,4.03,-2.2,-3.66,0,0,10
-26,-23.25,1010.01,-0.73,1.95,4.88,0,0,10
-26,-23.25,1010.01,2.2,-0.24,2.56,0,0,10
-28.38,-23.07,1011.84,-2.56,-1.34,-4.52,0,0,10
-28.38,-23.07,1011.84,-1.59,-5,-0.49,0,0,9
-26.37,-21.97,1009.46,-4.64,-0.49,-3.66,0,0,10
-26.37,-21.97,1009.46,-0.24,3.54,8.54,0,0,10
-27.28,-23.62,1008.91,-0.98,-1.34,-6.35,0,0,10
-27.28,-23.62,1008.91,1.83,-0.24,-3.05,0,0,10
-26.73,-23.25,1010.19,-7.69,-3.91,-1.95,0,0,10
-26.73,-23.25,1010.19,5.37,-5.62,-1.1,0,0,10
-27.65,-21.79,1011.11,-0.61,3.66,2.2,0,0,10
-27.65,-21.79,1011.11,0,5.49,-11.11,0,0,10
-29.85,-21.97,1009.28,-2.08,2.56,2.93,0,0,10
-29.85,-21.97,1009.28,-7.32,1.71,-1.46,0,0,10
-26.73,-23.62,1010.01,-3.91,2.81,9.89,0,0,10
-26.73,-23.62,1010.01,3.78,-4.88,2.81,0,0,10
-26.55,-23.8,1013.12,4.88,2.44,5.98,0,0,10
-29.66,-25.27,1010.93,0.12,3.42,-9.64,0,0,10
-29.66,-25.27,1010.93,-5.49,1.59,-2.2,0,0,10
-27.28,-25.82,1010.93,-0.61,-1.1,4.52,0,0,10
-27.28,-25.82,1010.93,-5.37,0.49,-5,0,0,10
-26.73,-21.24,1011.11,-4.15,-2.08,-0.98,0,0,10
-26.73,-21.24,1011.11,4.76,0,4.39,0,0,10
-28.56,-21.79,1011.47,0.61,-4.39,-3.91,0,0,10
-28.56,-21.79,1011.47,5.25,-3.17,-8.42,0,0,10
-28.56,-21.79,1011.47,0.49,-5.25,14.04,0,0,10
-28.56,-21.79,1011.47,-3.42,-5.62,-3.54,0,0,10
-25.27,-21.42,1012.39,1.95,0.12,-1.83,0,0,10
-25.27,-21.42,1012.39,0.85,0.85,-0.12,0,0,10
-28.93,-22.16,1010.01,2.69,3.05,-3.78,0,0,10
-28.93,-22.16,1010.01,0.85,0.24,-0.85,0,0,10
-29.66,-23.62,1009.46,2.32,3.05,-0.49,0,0,10
-29.66,-23.62,1009.46,-3.66,-0.12,-6.84,0,0,10
-27.83,-25.09,1009.64,4.03,3.42,1.34,0,0,10
-27.83,-25.09,1009.64,-3.3,0.49,2.93,0,0,10
-28.02,-25.09,1009.28,-2.69,-1.71,-10.99,0,0,10
-28.02,-25.09,1009.28,-4.03,-4.15,2.2,0,0,10
-24.9,-24.35,1009.64,-2.93,3.17,-1.1,0,0,10
-24.9,-24.35,1009.64,-6.23,-4.27,4.39,0,0,10
-23.8,-23.44,1011.29,1.46,1.46,4.39,0,0,10
-23.8,-23.44,1011.29,-5.13,5.13,-2.44,0,0,10
-26.92,-21.61,1012.21,-0.98,1.71,0.73,0,0,10
-26.92,-21.61,1012.21,-2.69,-3.05,2.56,0,0,10
-27.1,-22.34,1011.66,-1.46,2.81,6.84,0,0,10
-27.1,-22.34,1011.66,2.81,6.47,1.34,0,0,10
-25.09,-20.51,1011.84,2.44,0.85,6.1,0,0,10
-25.09,-20.51,1011.84,10.01,-0.85,2.93,0,0,10
-27.1,-21.06,1009.64,2.81,3.42,-4.39,0,0,10
-27.1,-21.06,1009.64,3.78,3.66,-2.44,0,0,10
-28.38,-21.97,1011.11,3.54,-2.81,-8.42,0,0,11
-28.38,-21.97,1011.11,-0.61,-7.2,-4.03,0,0,10
-29.48,-21.97,1011.11,3.91,-2.69,4.64,0,0,10
-29.48,-21.97,1011.11,2.2,-3.3,1.83,0,0,10
-28.2,-24.17,1008,1.59,-3.3,-3.54,0,0,10
-28.2,-24.17,1008,5.62,0.49,17.09,0,0,10
-29.48,-23.25,1010.01,2.32,0.61,-4.52,0,0,10
-29.48,-23.25,1010.01,0.61,-3.42,2.81,0,0,10
-28.75,-23.62,1010.93,-0.73,1.71,4.88,0,0,10
-26.92,-22.89,1011.11,4.15,-0.61,7.57,0,0,10
-26.92,-22.89,1011.11,3.54,-1.59,-2.69,0,0,10
-29.48,-23.62,1011.84,1.46,-0.85,5.74,0,0,10
-29.48,-23.62,1011.84,-1.95,1.83,-1.95,0,0,10
-25.82,-22.34,1012.76,-0.24,5,3.66,0,0,10
-25.82,-22.34,1012.76,-1.83,0.61,-2.08,0,0,10
-28.38,-23.07,1012.76,-0.73,0.73,-6.59,0,0,10
-28.38,-23.07,1012.76,1.83,-3.05,2.2,0,0,10
-28.38,-23.07,1012.76,5.62,3.17,2.93,0,0,10
-28.38,-23.07,1012.76,-2.93,1.71,3.42,0,0,10
-25.63,-19.96,1013.85,-2.81,-3.66,-0.98,0,0,10
-25.63,-19.96,1013.85,2.32,3.42,-4.64,0,0,10
-27.1,-20.14,1010.74,3.66,-4.03,4.76,0,0,10
-27.1,-20.14,1010.74,2.69,1.59,-9.28,0,0,10
-26.18,-24.72,1011.47,0.24,1.22,-1.71,0,0,10
-26.18,-24.72,1011.47,4.76,-2.81,-6.1,0,0,10
-25.63,-23.62,1012.76,0.73,5.25,-6.1,0,0,10
-25.63,-23.62,1012.76,-1.95,-1.34,1.1,0,0,10
-26.73,-22.16,1010.01,1.34,5.62,-4.39,0,0,10
-26.73,-22.16,1010.01,0.73,-7.57,2.44,0,0,10
-25.82,-23.8,1008.18,3.3,5.13,6.1,0,0,9
-25.82,-23.8,1008.18,-4.15,-0.61,2.69,0,0,9
-28.56,-22.52,1008.36,2.32,-1.83,0.49,0,0,10
-28.56,-22.52,1008.36,-2.32,0.37,5.13,0,0,10
-29.11,-19.59,1009.28,-0.49,-0.98,-9.52,0,0,10
-29.11,-19.59,1009.28,1.83,0.85,3.05,0,0,10
-25.82,-21.79,1010.56,-0.73,-10.62,-0.61,0,0,10
-25.82,-21.79,1010.56,-1.22,-1.83,-1.59,0,0,9
-24.9,-22.16,1012.57,1.46,-6.96,0.61,0,0,10
-24.9,-22.16,1012.57,1.71,-1.22,-3.78,0,0,10
-26.37,-21.06,1012.39,2.69,-2.69,7.32,0,0,10
-26.37,-21.06,1012.39,-3.66,4.52,-9.28,0,0,10
-27.1,-22.71,1009.83,-1.59,0.49,-1.95,0,0,10
-27.1,-22.71,1009.83,-2.2,-3.3,-2.32,0,0,10
-28.2,-22.52,1010.74,-3.91,-0.61,2.81,0,0,10
-28.2,-22.52,1010.74,-3.42,0.73,-13.55,0,0,10
-27.1,-23.44,1012.76,-3.05,-1.71,-3.42,0,0,10
-27.1,-23.44,1012.76,-0.98,-0.37,-1.59,0,0,10
-25.63,-21.97,1012.76,-3.42,4.03,-2.32,0,0,9
-25.63,-21.97,1012.76,0.24,-0.98,3.42,0,0,11
-28.38,-21.42,1013.31,-2.56,0.73,-9.89,0,0,10
-29.3,-23.62,1013.12,9.89,4.64,-0.24,0,0,10
-29.3,-23.62,1013.12,0.37,-4.52,1.95,0,0,10
-28.02,-22.52,1010.74,-1.59,2.32,3.54,1,0,10
-28.02,-22.52,1010.74,0.85,5.98,3.42,0,0,10
-28.93,-22.52,1009.83,3.3,9.03,2.2,0,0,10
-28.93,-22.52,1009.83,4.39,7.2,1.71,0,0,10
-29.48,-22.16,1011.84,-2.69,-0.37,-4.64,0,0,10
-29.48,-22.16,1011.84,0.37,-2.56,-2.08,0,0,10
-29.48,-22.16,1011.84,-3.54,-1.95,-3.17,0,0,10
-29.48,-22.16,1011.84,1.71,0.49,-2.69,0,0,10
-29.3,-21.24,1012.21,3.3,4.76,-4.76,0,0,10
-29.3,-21.24,1012.21,0,5.98,11.84,0,0,10
-27.65,-20.51,1010.38,3.3,6.96,1.1,0,0,10
-27.65,-20.51,1010.38,-1.46,6.71,-3.42,0,0,9
-25.45,-23.8,1010.56,0,3.05,6.1,0,0,10
-25.45,-23.8,1010.56,4.03,3.3,0,0,0,10
-27.28,-23.62,1011.29,1.95,-1.1,-7.81,-1,0,9
-27.28,-23.62,1011.29,3.3,2.2,-3.3,0,0,10
-25.82,-19.41,1011.84,-2.93,-3.05,-3.91,0,0,10
-25.82,-19.41,1011.84,0.37,2.32,14.16,0,0,10
-26.73,-22.52,1011.29,0,5.13,-5.74,0,0,10
-26.73,-22.52,1011.29,-1.22,0.98,0,0,0,10
-27.83,-21.06,1010.19,-1.95,2.32,7.81,0,0,10
-27.83,-21.06,1010.19,1.83,4.76,5.49,0,0,10
-26.37,-19.04,1011.66,1.83,-0.98,0.49,0,0,10
-26.37,-19.04,1011.66,-0.98,1.95,-0.24,0,0,10
-26.18,-19.23,1012.57,6.71,-0.12,6.23,0,0,10
-26.18,-19.23,1012.57,5.74,0,-0.85,0,0,10
-23.44,-20.51,1010.19,-8.67,3.42,-9.64,0,0,10
-23.44,-20.51,1010.19,-1.1,2.93,-9.52,0,0,10
-28.02,-19.23,1011.47,2.2,4.27,2.2,0,0,10
-28.02,-19.23,1011.47,0.61,-0.85,4.27,0,0,10
-29.11,-20.87,1013.67,8.06,6.1,4.88,0,0,10
-29.11,-20.87,1013.67,0.85,-0.85,-2.44,0,0,10
-27.83,-19.78,1011.47,-2.93,2.32,-6.84,0,0,10
-27.83,-19.78,1011.47,0.98,-0.24,-3.66,0,0,10
-27.1,-20.87,1012.57,-0.12,-1.1,-4.76,0,0,10
-27.1,-20.87,1012.57,-4.03,5.62,-1.59,0,0,10
-27.1,-21.97,1013.67,-0.37,-3.17,-4.15,0,0,11
-27.1,-21.97,1013.67,0.85,0.61,2.93,0,0,10
-26.18,-20.51,1011.11,0,4.76,-2.81,0,0,10
-26.18,-20.51,1011.11,-1.95,-4.52,2.44,0,0,10
-26.18,-20.51,1011.11,1.95,-0.49,-3.3,0,0,10
-26.55,-21.42,1011.84,-2.2,-1.34,-4.88,0,0,10
-26.55,-21.42,1011.84,-1.22,0.98,-0.49,0,0,10
-28.93,-21.61,1011.29,-4.39,-0.37,-0.61,0,0,10
-28.93,-21.61,1011.29,-1.95,0.73,-7.08,0,0,10
-29.66,-21.61,1012.02,-1.1,6.23,1.46,0,0,10
-29.66,-21.61,1012.02,-0.73,-3.54,0.49,0,0,10
-29.66,-21.61,1012.02,-0.73,1.83,-0.12,0,0,10
-29.66,-21.61,1012.02,-1.1,-1.83,4.03,0,0,10
-27.1,-23.07,1009.83,-7.2,-5.49,-9.89,0,0,10
-27.1,-23.07,1009.83,-0.61,-9.64,-4.76,0,0,10
-26.55,-20.14,1009.09,-4.88,-5.37,-4.03,0,0,11
-26.55,-20.14,1009.09,-1.34,-4.88,-4.88,0,0,10
-28.75,-22.89,1009.83,5.74,0.37,-0.73,0,0,10
-28.75,-22.89,1009.83,-0.24,-0.24,-0.98,0,0,9
-28.38,-23.99,1009.64,-0.73,-3.91,-0.37,0,0,10
-28.38,-23.99,1009.64,4.27,-0.49,-4.52,0,0,10
-27.1,-20.69,1012.21,-1.83,-1.95,6.23,0,0,10
-27.1,-20.69,1012.21,3.05,-5.25,-0.37,0,0,10
-29.3,-21.97,1011.47,8.3,-4.15,0.37,0,0,10
-29.3,-21.97,1011.47,-5.74,-7.2,-11.35,0,0,10
-27.1,-19.96,1011.29,1.46,3.42,-0.98,0,0,11
-27.1,-19.96,1011.29,3.05,3.05,-5.13,0,0,9
-27.1,-19.59,1013.49,2.56,4.27,3.54,0,0,10
-27.1,-19.59,1013.49,2.32,3.78,7.2,0,0,11
-24.9,-18.86,1011.47,0.12,3.54,3.66,0,0,10
-24.9,-18.86,1011.47,-4.52,-2.08,2.08,0,0,10
-24.17,-19.41,1010.93,-3.05,1.22,-7.57,0,0,10
-24.17,-19.41,1010.93,0,-4.88,-2.69,0,0,10
-26.55,-18.68,1011.47,1.34,0.37,0.49,0,0,10
-26.55,-18.68,1011.47,-3.78,1.22,1.34,0,0,10
-26.55,-18.68,1011.47,-0.24,0.49,-3.3,0,0,10
-26.55,-18.68,1011.47,0,-0.85,1.83,0,0,10
-25.27,-18.68,1010.56,3.78,-2.08,9.28,0,0,10
-25.27,-18.68,1010.56,6.1,-0.85,3.17,0,0,10
-28.2,-22.89,1010.56,4.64,4.64,-1.71,0,0,10
-28.2,-22.89,1010.56,4.64,-3.91,-6.47,0,0,10
-29.11,-21.24,1010.93,6.84,-3.42,6.84,0,0,10
-29.11,-21.24,1010.93,0.98,0.61,-10.25,0,0,10
-28.02,-20.87,1012.02,-2.93,-1.59,1.46,0,0,10
-28.02,-20.87,1012.02,-2.93,-6.71,4.27,0,0,9
-28.02,-20.87,1012.02,-3.3,3.78,0.85,0,0,10
-24.9,-24.72,1010.01,-0.61,-3.42,-4.15,0,0,10
-24.9,-24.72,1010.01,3.17,-4.27,7.32,0,0,10
-26,-21.24,1011.66,-4.88,6.71,4.88,0,0,10
-26,-21.24,1011.66,9.16,-0.61,7.81,0,0,10
-26.92,-22.34,1011.66,3.91,-0.73,4.03,0,0,10
-26.92,-22.34,1011.66,0.12,4.39,-4.52,0,0,10
-26.92,-22.34,1011.66,8.3,2.56,6.35,0,0,10
-26.92,-22.34,1011.66,-1.59,1.46,-1.71,0,0,10
-27.47,-25.82,1008.54,-2.56,1.34,-6.47,0,0,10
-27.47,-25.82,1008.54,-6.59,-1.95,6.1,0,0,10
-27.65,-23.99,1008.73,-1.1,2.81,0.73,0,0,10
-27.65,-23.99,1008.73,-2.69,0,-9.16,0,0,10
-26,-23.8,1009.64,-6.96,-2.81,0.61,0,0,10
-26,-23.8,1009.64,2.93,0.12,8.18,0,0,10
-26.92,-24.54,1009.28,-0.24,-2.81,4.03,0,0,10
-26.92,-24.54,1009.28,-0.12,3.42,2.08,0,0,10
-26.37,-25.09,1010.74,-0.37,0.12,4.52,0,0,10
-26.37,-25.09,1010.74,1.22,5.37,1.1,0,0,9
-28.75,-24.35,1009.28,-3.54,1.22,5.98,0,0,10
-28.75,-24.35,1009.28,-1.34,1.22,0.85,0,0,10
-30.03,-22.52,1008.54,-1.22,-5.62,-1.95,0,0,10
-30.03,-22.52,1008.54,1.71,5.98,3.54,0,0,10
